Price,Close,High,Low,Open,Volume
Ticker,COR,COR,COR,COR,COR
Date,,,,,
2024-07-01,219.95680236816406,223.3516500443569,218.79567224155872,222.7907694790108,1723100
2024-07-02,218.95310974121094,220.21264738046693,216.0502693228455,220.1240896593176,1455300
2024-07-03,218.94326782226562,220.39960535462694,217.44756129410203,219.43527516568645,648200
2024-07-05,219.12039184570312,219.16959558494793,215.68619006356386,218.84486892378,830600
2024-07-08,220.11427307128906,220.70467294251713,218.5201738996367,219.12040851351256,767700
2024-07-09,218.8153533935547,221.90515908311897,218.1855845592127,221.90515908311897,851900
2024-07-10,218.8645782470703,219.75020060930862,217.6935981886426,219.07122796938836,706400
2024-07-11,218.45127868652344,218.93345132861853,216.03059574858776,218.17575575243305,943600
2024-07-12,219.0417022705078,220.50787472493337,218.2643221638448,219.19913322848598,791100
2024-07-15,218.64804077148438,221.91497644545964,218.47092535090246,218.92356365785926,1873900
2024-07-16,221.77725219726562,222.14133285499264,217.97895460964844,218.56935445881058,1614300
2024-07-17,221.56072998046875,223.08595560684054,220.73416132361592,221.77721439272133,709800
2024-07-18,220.13394165039062,223.32213976311067,219.8584037125632,220.99002965993608,1336000
2024-07-19,220.0257110595703,222.3775057858007,219.71081912247928,222.1708560752255,1357100
2024-07-22,221.12779235839844,222.44636849918032,219.98633166270372,221.33442704433344,936800
2024-07-23,220.6751251220703,222.4758737751222,220.10439481004792,221.68865903388885,680600
2024-07-24,222.3676300048828,222.8005988602758,219.1991015793673,221.74771097545394,847100
2024-07-25,223.47958374023438,226.55955461970237,222.5447727588725,222.60381123971408,986700
2024-07-26,223.98141479492188,225.28032136886307,222.84980392827774,223.7550956245675,1310300
2024-07-29,223.54847717285156,225.42794906221147,223.44024995810645,224.1290573216515,1434900
2024-07-30,227.33692932128906,229.3443278446071,222.47589399339722,223.0761435989643,1780400
2024-07-31,234.07740783691406,240.3258918045093,232.14873253210652,234.7465305863161,2541600
2024-08-01,240.55224609375,241.5756148004133,235.11063085503096,236.26194129547767,2039500
2024-08-02,243.61251831054688,243.70107602700543,231.96177324224047,236.16352007439497,3292400
2024-08-05,237.3935546875,242.98275117207066,234.37262224558103,242.56946678538395,2354000
2024-08-06,235.98641967773438,239.71582889665743,235.61248927569855,238.03315710236942,1186800
2024-08-07,237.2459716796875,239.9520123499603,235.58298428357634,236.1241954206057,1051500
2024-08-08,233.2115020751953,236.1635464052611,230.54481542382473,235.69122351661525,1747200
2024-08-09,234.4737548828125,234.91751344042788,232.15632734701018,234.86820359019202,1258800
2024-08-12,234.4737548828125,236.77145546906974,232.99454965925875,233.9017937240346,913100
2024-08-13,233.0339813232422,235.9134989306053,232.79731812501572,234.45402070161373,1043000
2024-08-14,234.45401000976562,235.5486223934048,231.74213397390082,233.46787326945116,1159000
2024-08-15,233.3889923095703,235.24293429009742,231.69283582680154,234.76959284407573,1108900
2024-08-16,234.80902099609375,234.90764068951253,232.11687189499003,233.5171842674717,1013200
2024-08-19,235.53878784179688,235.6472634949766,234.21735305381074,234.58223391300837,788200
2024-08-20,235.10487365722656,236.1699031867741,234.4540197701831,235.8148933435916,697900
2024-08-21,236.02200317382812,237.07717688460335,235.12461497915567,235.45004196339696,775100
2024-08-22,237.25465393066406,237.50118813568298,235.88392435264902,236.77145651906937,736300
2024-08-23,234.4441680908203,237.8364660408385,233.9412286929175,237.58007589002273,1170800
2024-08-26,231.18991088867188,233.71441865732552,230.08544250169922,232.2549404249326,1471200
2024-08-27,230.26295471191406,233.45804352621295,228.82318828864086,231.95911129943954,1304100
2024-08-28,233.1720428466797,233.41857704614696,230.28266925160509,230.5193324528515,878800
2024-08-29,234.3061065673828,235.08514800817937,232.1365935985758,233.17204023418765,829700
2024-08-30,236.24879455566406,236.4756018008236,233.60594017245663,233.96095001356647,1229100
2024-09-03,240.3412322998047,241.4259886642068,236.60376586475226,237.21518083707508,1408900
2024-09-04,240.0256805419922,241.20905668773634,234.74985792243595,240.9921053975001,968500
2024-09-05,232.96495056152344,235.20347014351088,228.70483259119447,234.57234322723096,2468400
2024-09-06,231.71255493164062,234.16804087289884,230.0262544568483,233.08328442159936,1831600
2024-09-09,233.25094604492188,235.02599537005213,231.9492532379957,233.39886055232685,1477100
2024-09-10,234.23707580566406,236.1206007283679,232.1957804289159,233.06357059154752,1615000
2024-09-11,232.94522094726562,234.19761881503118,230.50946200592549,232.95507689761328,1374900
2024-09-12,234.35540771484375,234.77945436923054,232.23521958467072,232.31411233542298,1133400
2024-09-13,236.5544891357422,237.46173314287398,233.59607887660485,234.35539334242816,1238500
2024-09-16,237.89566040039062,240.49906109661072,237.60967228587825,238.64511899344114,1153900
2024-09-17,231.27867126464844,238.70428044626559,230.57852253657785,237.6688337575761,2096200
2024-09-18,225.31251525878906,228.3695451325712,224.05026145152152,227.29465971106643,2404600
2024-09-19,223.41915893554688,226.3282595894178,221.59481481910427,225.28295695185267,2204100
2024-09-20,224.94766235351562,229.2669462816616,221.6046592583385,227.077721417855,6647200
2024-09-23,225.16461181640625,227.74828535379316,224.11930924165438,225.36183616210892,1067300
2024-09-24,222.22593688964844,224.6715519733309,218.96181139802653,223.35013225488788,2454800
2024-09-25,220.33253479003906,223.5078964435394,218.1137270223775,223.5078964435394,1737600
2024-09-26,220.7763214111328,222.47247798629573,219.02099903290087,219.02099903290087,1206400
2024-09-27,221.80186462402344,222.11743559051325,220.03668655288314,220.4015523165416,1082500
2024-09-30,221.9596710205078,222.33440781670953,220.56921453199925,222.1273124695314,1333600
2024-10-01,221.12147521972656,222.37387330924508,220.09589945363803,222.00900746749568,1338900
2024-10-02,218.5673370361328,220.5001715840601,218.32080286175318,220.42127884258838,1812500
2024-10-03,217.89678955078125,219.3168138744267,217.0881501684211,218.55749938777512,1460400
2024-10-04,216.89093017578125,218.08414727718852,216.30911307518588,217.1670472759707,1638100
2024-10-07,216.45701599121094,217.4431527383235,215.61879373726418,216.17104295533943,1414600
2024-10-08,217.74887084960938,218.26166621402803,216.6444024160189,217.50233664230765,1598800
2024-10-09,218.09400939941406,219.31680935127216,216.97967004576665,218.53776793185457,1295000
2024-10-10,219.11956787109375,219.61263621240911,217.75870948119447,218.83359485392157,1352900
2024-10-11,219.47459411621094,221.59479717100987,219.18862107762087,219.9084966966257,938000
2024-10-14,221.69338989257812,222.89647787455394,218.87303831885228,219.8789019695907,1767700
2024-10-15,229.88821411132812,233.13261272425234,221.61452666932283,221.61452666932283,3260000
2024-10-16,233.29039001464844,233.60594596609826,227.62995936524982,228.32025211584636,1701000
2024-10-17,232.37327575683594,233.41857836090435,230.341836349344,231.18004360390194,1231800
2024-10-18,234.13844299316406,234.85833365980014,231.58435240386015,233.1325943350403,1210100
