Price,Close,High,Low,Open,Volume
Ticker,WEBC,WEBC,WEBC,WEBC,WEBC
Date,,,,,
2024-07-01,175.0,177.0,171.0,171.0,100
2024-07-02,170.0,175.0,170.0,175.0,100
2024-07-03,170.0,170.0,170.0,170.0,0
2024-07-05,170.0,170.0,170.0,170.0,300
2024-07-08,170.0,170.0,170.0,170.0,1600
2024-07-09,170.0,170.0,170.0,170.0,200
2024-07-10,137.0,137.0,137.0,137.0,100
2024-07-11,165.0,175.0,165.0,175.0,400
2024-07-12,166.3000030517578,170.0,142.02000427246094,165.0,2000
2024-07-15,165.0,170.0,165.0,170.0,2100
2024-07-16,170.0,170.0,165.0,170.0,3100
2024-07-17,170.0,170.0,170.0,170.0,100
2024-07-18,165.0,165.0,165.0,165.0,100
2024-07-19,165.0,165.0,165.0,165.0,0
2024-07-22,165.0,165.0,165.0,165.0,100
2024-07-23,165.0,165.00999450683594,165.0,165.00999450683594,200
2024-07-24,175.0,175.0,165.0,165.0,100
2024-07-25,165.0,165.0,165.0,165.0,100
2024-07-26,166.5,166.5,166.5,166.5,100
2024-07-29,165.0,165.0,165.0,165.0,700
2024-07-30,165.0,165.0,165.0,165.0,100
2024-07-31,165.0,165.0,165.0,165.0,100
2024-08-01,165.0,165.0,165.0,165.0,300
2024-08-02,165.0399932861328,165.0399932861328,165.0399932861328,165.0399932861328,100
2024-08-05,165.0399932861328,165.0399932861328,165.0399932861328,165.0399932861328,0
2024-08-06,165.0,165.0,165.0,165.0,100
2024-08-07,165.0,165.0,165.0,165.0,100
2024-08-08,166.5,166.5,166.5,166.5,100
2024-08-09,165.0,170.0,165.0,170.0,100
2024-08-12,166.5,166.5,166.5,166.5,100
2024-08-13,165.0,165.0,165.0,165.0,100
2024-08-14,165.0,165.0,165.0,165.0,0
2024-08-15,165.0,165.0,165.0,165.0,100
2024-08-16,165.0,165.5,165.0,165.5,200
2024-08-19,165.0,165.0,165.0,165.0,500
2024-08-20,165.0399932861328,165.0399932861328,165.0399932861328,165.0399932861328,100
2024-08-21,165.0,165.0,165.0,165.0,100
2024-08-22,165.0,165.0,165.0,165.0,0
2024-08-23,165.0,165.0,165.0,165.0,0
2024-08-26,166.5,166.5,166.5,166.5,100
2024-08-27,171.5,171.5,166.5,166.5,600
2024-08-28,170.0,170.0,170.0,170.0,100
2024-08-29,170.0,170.0,170.0,170.0,0
2024-08-30,171.85000610351562,171.85000610351562,171.85000610351562,171.85000610351562,100
2024-09-03,171.85000610351562,171.85000610351562,171.85000610351562,171.85000610351562,0
2024-09-04,171.85000610351562,171.85000610351562,171.85000610351562,171.85000610351562,0
2024-09-05,171.85000610351562,171.85000610351562,171.85000610351562,171.85000610351562,0
2024-09-06,166.5,166.5,166.5,166.5,100
2024-09-09,166.5,166.5,166.5,166.5,0
2024-09-10,166.5,166.5,166.5,166.5,0
2024-09-11,165.0,165.0,165.0,165.0,100
2024-09-12,165.25,165.25,165.25,165.25,100
2024-09-13,165.25,165.25,165.25,165.25,0
2024-09-16,150.0,166.0,150.0,165.0,700
2024-09-17,150.0,150.0,150.0,150.0,0
2024-09-18,150.0,150.0,150.0,150.0,0
2024-09-19,175.0,175.0,175.0,175.0,100
2024-09-20,175.0,175.0,175.0,175.0,0
2024-09-23,175.0,175.0,175.0,175.0,0
2024-09-24,175.0,175.0,175.0,175.0,100
2024-09-25,175.0,175.0,175.0,175.0,0
2024-09-26,175.0,175.0,175.0,175.0,0
2024-09-27,152.0,152.0,152.0,152.0,100
2024-09-30,152.0,152.0,152.0,152.0,0
2024-10-01,152.0,152.0,152.0,152.0,0
2024-10-02,152.0,152.0,152.0,152.0,0
2024-10-03,152.0,152.0,152.0,152.0,0
2024-10-04,172.0,173.0,172.0,172.0,900
2024-10-07,172.75,172.75,172.0,172.0,300
2024-10-08,172.0,172.0,172.0,172.0,700
2024-10-09,172.0,172.0,172.0,172.0,300
2024-10-10,173.0,173.0,172.0,172.0,200
2024-10-11,173.0,173.0,173.0,173.0,0
2024-10-14,173.0,173.0,173.0,173.0,0
2024-10-15,173.0,173.0,173.0,173.0,0
2024-10-16,173.0,173.0,173.0,173.0,0
2024-10-17,173.0,173.0,173.0,173.0,500
2024-10-18,173.0,173.0,173.0,173.0,0
2024-10-21,173.0,173.0,173.0,173.0,0
2024-10-22,173.0,173.0,173.0,173.0,0
2024-10-23,173.0,173.0,173.0,173.0,0
2024-10-24,173.0,173.0,173.0,173.0,0
2024-10-25,173.0,173.0,173.0,173.0,0
